Longitude, Latitude
-87.607207, 41.707308
-87.656271, 41.705015
-87.632048, 41.674335
-87.831887, 42.010112
-87.831501, 42.010214
-87.833259, 42.010973
-87.817149, 42.001981
-87.817229, 42.001902
-87.81794, 42.00262
-87.727883, 41.924607
-87.685605, 41.857955
-87.629154, 41.831094
-87.629708, 41.831078
-87.629316, 41.832686
-87.639597, 41.750772
-87.639098, 41.750744
-87.644792, 41.736243
-87.643991, 41.73792
-87.644369, 41.737898
-87.621685, 41.869395
-87.638637, 41.878153
-87.617944, 41.858003
-87.613974, 41.844573
-87.591376, 41.8098
-87.587369, 41.802411
-87.587514, 41.802379
-87.586897, 41.799693
-87.587219, 41.79513
-87.623919, 41.876987
-87.622961, 41.878195
-87.624464, 41.878147
-87.624459, 41.878408
-87.621996, 41.869399
-87.6754, 42.009419
-87.675458, 42.009058
-87.675618, 42.009045
-87.675634, 42.010094
-87.675492, 42.010095
-87.675158, 41.99092
-87.761587, 41.970256
-87.674283, 41.967125
-87.674509, 41.967133
-87.668546, 41.917531
-87.667945, 41.917326
-87.668031, 41.916797
-87.729896, 41.952336
-87.731048, 41.952996
-87.731241, 41.95349
-87.763445, 41.971773
-87.674906, 41.9909
-87.616375, 41.851482
-87.608878, 41.699969
-87.610543, 41.692647
-87.588013, 41.791677
-87.587079, 41.795138
-87.587669, 41.793214
-87.587511, 41.793236
-87.587895, 41.791673
-87.588724, 41.787999
-87.588852, 41.787995
-87.590792, 41.778863
-87.590934, 41.778859
-87.590421, 41.780435
-87.590582, 41.780417
-87.589335, 41.766032
-87.58652, 41.766063
-87.578221, 41.766141
-87.576443, 41.766161
-87.566341, 41.765889
-87.565116, 41.764578
-87.560104, 41.759029
-87.558301, 41.757364
-87.554256, 41.753611
-87.552575, 41.752042
-87.551588, 41.746426
-87.551562, 41.744759
-87.548166, 41.737536
-87.547817, 41.728183
-87.5954, 41.758836
-87.547765, 41.72658
-87.597124, 41.751272
-87.598771, 41.744122
-87.600421, 41.736885
-87.602081, 41.729563
-87.603849, 41.721904
-87.612375, 41.685629
-87.620564, 41.674465
-87.621719, 41.674486
-87.631318, 41.674361
-87.641987, 41.674159
-87.644188, 41.674136
-87.651899, 41.674041
-87.660736, 41.669223
-87.668568, 41.662462
-87.676358, 41.655619
-87.542442, 41.645426
-87.545022, 41.647418
-87.762359, 41.970639
-87.778007, 41.979915
-87.778155, 41.979641
-87.798888, 41.991813
-87.79947, 41.991972
-87.799564, 41.991895
-87.830958, 42.009659
-87.830876, 42.009745
-87.765626, 41.997481
-87.765501, 41.997497
-87.766026, 41.998204
-87.766366, 41.998846
-87.766191, 41.998865
-87.765973, 41.998452
-87.76567, 41.997856
-87.755373, 41.97772
-87.755291, 41.977892
-87.755603, 41.978643
-87.75587, 41.978994
-87.74624, 41.960625
-87.746592, 41.960616
-87.746161, 41.959931
-87.740576, 41.949112
-87.740054, 41.948688
-87.740105, 41.948144
-87.785368, 41.916364
-87.72772, 41.924617
-87.688014, 41.889056
-87.688317, 41.889235
-87.745847, 41.914517
-87.746172, 41.914553
-87.746167, 41.914362
-87.745834, 41.91432
-87.766102, 41.916831
-87.767057, 41.916821
-87.786437, 41.91661
-87.785362, 41.916495
-87.800834, 41.921486
-87.813765, 41.924651
-87.801354, 41.921857
-87.802366, 41.922222
-87.80237, 41.922047
-87.813745, 41.924784
-87.800826, 41.921658
-87.814968, 41.924775
-87.815948, 41.925252
-87.815987, 41.925116
-87.836021, 41.93093
-87.835979, 41.930826
-87.836519, 41.931087
-87.870415, 41.96248
-87.860254, 41.938688
-87.873966, 41.976196
-87.880584, 41.995084
-87.706478, 41.888249
-87.802265, 41.887159
-87.800881, 41.887185
-87.803343, 41.886814
-87.794972, 41.919357
-87.646852, 41.860422
-87.646863, 41.860304
-87.803359, 41.887103
-87.794338, 41.919071
-87.794977, 41.919523
-87.658265, 41.732273
-87.685975, 41.85749
-87.744386, 41.844561
-87.744361, 41.844329
-87.809123, 41.79523
-87.809935, 41.794788
-87.703385, 41.749115
-87.704161, 41.748535
-87.712875, 41.741503
-87.71304, 41.741503
-87.713083, 41.741323
-87.713251, 41.741338
-87.714181, 41.740607
-87.714043, 41.74056
-87.749073, 41.719339
-87.748327, 41.719641
-87.749841, 41.719163
-87.749235, 41.719412
-87.748197, 41.719819
-87.747905, 41.719823
-87.658253, 41.732179
-87.65964, 41.732267
-87.659644, 41.732147
-87.667072, 41.727793
-87.66746, 41.727941
-87.66746, 41.721302
-87.667585, 41.721302
-87.66726, 41.72143
-87.667373, 41.713826
-87.667269, 41.713791
-87.667512, 41.712878
-87.669128, 41.70485
-87.668997, 41.704869
-87.66893, 41.706503
-87.668804, 41.706507
-87.668851, 41.705965
-87.669074, 41.705965
-87.669824, 41.697929
-87.669717, 41.698752
-87.669694, 41.699165
-87.669819, 41.699163
-87.670551, 41.692052
-87.670526, 41.693263
-87.671423, 41.685953
-87.671454, 41.684745
-87.671549, 41.684745
-87.672398, 41.67655
-87.672639, 41.675935
-87.672588, 41.676564
-87.672481, 41.677251
-87.672347, 41.677241
-87.672465, 41.676298
-87.6737, 41.670058
-87.667587, 41.712138
-87.667444, 41.712138
-87.670391, 41.693321
-87.670743, 41.692643
-87.670676, 41.692047
-87.671661, 41.685023
-87.675091, 41.662587
-87.675228, 41.661794
-87.677309, 41.655441
-87.677161, 41.655411
-87.676888, 41.655423
-87.677738, 41.654637
-87.678116, 41.654648
-87.678333, 41.654631
-87.650263, 41.721226
-87.656342, 41.705212
-87.655901, 41.705974
-87.65609, 41.70588
-87.650386, 41.721231
-87.624634, 41.884068
-87.624783, 41.88438
-87.640766, 41.879149
-87.640737, 41.878207
-87.638634, 41.879179
-87.639522, 41.878764
-87.639726, 41.878752
-87.624731, 41.884676
-87.632655, 41.875377
-87.6318, 41.875437
-87.640512, 41.881969
-87.641145, 41.88404
-87.640013, 41.884076
